66
0 65
9 16 1
16 23 1
23 30 1
30 37 1
37 44 1
44 51 1
9 10 1
16 17 1
23 24 1
30 31 1
37 38 1
44 45 1
51 52 1
4 10 1
10 17 1
17 24 1
24 31 1
31 38 1
38 45 1
45 52 1
52 58 1
4 5 1
10 11 1
17 18 1
24 25 1
31 32 1
38 39 1
45 46 1
52 53 1
58 59 1
1 5 1
5 11 1
11 18 1
18 25 1
25 32 1
32 39 1
39 46 1
46 53 1
53 59 1
59 63 1
1 2 1
5 6 1
11 12 1
18 19 1
25 26 1
32 33 1
39 40 1
46 47 1
53 54 1
59 60 1
63 64 1
0 2 1
2 6 1
6 12 1
12 19 1
19 26 1
26 33 1
33 40 1
40 47 1
47 54 1
54 60 1
60 64 1
2 3 1
6 7 1
12 13 1
19 20 1
26 27 1
33 34 1
40 41 1
47 48 1
54 55 1
60 61 1
64 65 1
3 7 1
7 13 1
13 20 1
20 27 1
27 34 1
34 41 1
41 48 1
48 55 1
55 61 1
61 65 1
7 8 1
13 14 1
20 21 1
27 28 1
34 35 1
41 42 1
48 49 1
55 56 1
61 62 1
8 14 1
14 21 1
21 28 1
28 35 1
35 42 1
42 49 1
49 56 1
56 62 1
14 15 1
21 22 1
28 29 1
35 36 1
42 43 1
49 50 1
56 57 1
15 22 1
22 29 1
29 36 1
36 43 1
43 50 1
50 57 1
